1,1142,Return/Refund Policies,enter desc,1/12/2016,12/17/2015,Service Refund,In Progress,,
2,7887,Damaged Product,enter desc,12/10/2016,11/4/2016,Item Refund,Closed,12/31/2016,enter note
3,9995,Wrong Order,enter desc,7/16/2014,6/22/2014,Item Refund,In Progress,,
4,4494,Wrong Order,enter desc,7/14/2015,6/15/2015,Item Refund,In Progress,,
5,9995,Late Shipment,enter desc,10/13/2017,10/18/2017,Repair,Open,,
6,2835,Damaged Product,enter desc,9/14/2014,8/24/2014,Item Refund,Open,,
7,2348,Late Shipment,enter desc,2/14/2016,12/14/2015,Repair,In Progress,,
8,1867,Return/Refund Policies,enter desc,1/8/2014,12/26/2013,Service Refund,In Progress,,
9,4694,Damaged Product,enter desc,12/23/2017,11/24/2017,Repair,In Progress,,
10,1142,Late Shipment,enter desc,8/7/2016,7/26/2016,Repair,Closed,8/28/2016,enter note
11,7818,Website Issue,enter desc,2/27/2017,1/19/2017,Service Refund,In Progress,,
12,4527,Website Issue,enter desc,12/9/2017,10/9/2017,Service Refund,In Progress,,
13,7302,Website Issue,enter desc,3/20/2014,3/10/2014,Repair,Open,,
14,7887,Return/Refund Policies,enter desc,5/8/2014,5/3/2014,Repair,Open,,
15,7907,Wrong Order,enter desc,10/25/2017,10/25/2017,Service Refund,Open,,
16,4872,Website Issue,enter desc,1/3/2016,12/26/2015,Repair,Closed,1/13/2016,enter note
17,9839,Damaged Product,enter desc,11/24/2016,10/12/2016,Service Refund,Closed,11/25/2016,enter note
18,2944,Damaged Product,enter desc,8/12/2015,6/21/2015,Item Refund,In Progress,,
19,8463,Return/Refund Policies,enter desc,10/23/2014,9/19/2014,Item Refund,In Progress,,
20,9104,Wrong Order,enter desc,12/2/2014,10/10/2014,Item Refund,In Progress,,
21,7887,Wrong Order,enter desc,10/7/2017,10/13/2017,Service Refund,Closed,10/16/2017,enter note
22,9995,Wrong Order,enter desc,7/15/2016,7/23/2016,Service Refund,In Progress,,
23,2434,Wrong Order,enter desc,2/16/2016,12/6/2015,Service Refund,In Progress,,
24,3095,Return/Refund Policies,enter desc,6/22/2017,4/20/2017,Item Refund,In Progress,,
25,2077,Return/Refund Policies,enter desc,2/13/2016,12/2/2015,Item Refund,In Progress,,
26,9016,Late Shipment,enter desc,8/17/2015,6/4/2015,Service Refund,In Progress,,
27,8463,Return/Refund Policies,enter desc,2/9/2017,2/19/2017,Item Refund,Closed,2/19/2017,enter note
28,1867,Late Shipment,enter desc,9/22/2015,8/15/2015,Repair,In Progress,,
29,8727,Wrong Order,enter desc,3/24/2015,2/19/2015,Repair,In Progress,,
30,7302,Damaged Product,enter desc,12/14/2017,10/6/2017,Item Refund,Open,,
31,3319,Damaged Product,enter desc,12/9/2017,10/3/2017,Repair,Closed,12/26/2017,enter note
32,3364,Damaged Product,enter desc,11/13/2015,10/24/2015,Item Refund,Open,,
33,2348,Damaged Product,enter desc,11/5/2014,9/14/2014,Repair,Open,,
34,2348,Late Shipment,enter desc,7/13/2014,5/21/2014,Item Refund,Closed,7/21/2014,enter note
35,1142,Late Shipment,enter desc,6/24/2017,4/19/2017,Repair,In Progress,,
36,4241,Late Shipment,enter desc,12/8/2017,12/20/2017,Repair,Open,,
37,3271,Damaged Product,enter desc,11/23/2014,9/20/2014,Service Refund,In Progress,,
38,7818,Website Issue,enter desc,12/8/2014,10/14/2014,Item Refund,Closed,12/9/2014,enter note
39,5084,Return/Refund Policies,enter desc,3/18/2015,2/19/2015,Service Refund,Open,,
40,1865,Website Issue,enter desc,11/21/2015,11/2/2015,Item Refund,In Progress,,
41,1121,Damaged Product,enter desc,11/5/2017,9/27/2017,Item Refund,In Progress,,
42,9159,Wrong Order,enter desc,12/12/2016,12/8/2016,Service Refund,In Progress,,
43,8559,Wrong Order,enter desc,6/20/2015,5/5/2015,Item Refund,Closed,6/30/2015,enter note
44,2367,Website Issue,enter desc,10/1/2014,9/10/2014,Service Refund,Open,,
45,2024,Return/Refund Policies,enter desc,10/8/2014,9/20/2014,Service Refund,Closed,10/29/2014,enter note
46,3179,Wrong Order,enter desc,2/16/2016,12/14/2015,Item Refund,Closed,2/29/2016,enter note
47,9998,Damaged Product,enter desc,2/21/2016,1/12/2016,Item Refund,Open,,
48,4642,Return/Refund Policies,enter desc,8/20/2016,6/23/2016,Item Refund,Closed,9/11/2016,enter note
49,3095,Late Shipment,enter desc,1/16/2017,11/26/2016,Item Refund,Closed,2/11/2017,enter note
50,7907,Return/Refund Policies,enter desc,9/19/2017,8/11/2017,Service Refund,Open,,
